"","timestamp","num.likes","num.comments","num.shares","posted.by","message","embeded.link","embeded.link.text","sample.comments","rbloggers.link","title","first.published","author","blog.name","blog.link","tags"
"11","Saturday, December 24, 2011 at 2:22pm","3 people like this","0","0","R bloggers","http://www.r-bloggers.com/programming-traps-when-using-sample/","http://www.r-bloggers.com/programming-traps-when-using-sample/","Standard
 sample function works differently when it gets single element integer 
vector as opposed to longer vectors. This can lead to unexpected bugs in
 R code.Several times I had a problem with code similar to one given 
here:for (i in 1:4) {&...","","http://www.r-bloggers.com/programming-traps-when-using-sample/","Programming traps when using ""sample""","December 23, 2011","BogumiÅ KamiÅski"," R snippets","http://rsnippets.blogspot.com/2011/12/programming-traps-when-using-sample.html",NA
"12","Friday, December 23, 2011 at 1:25pm","5 people like this","0","0","R bloggers","http://www.r-bloggers.com/googlevis-0-2-13-new-stepped-area-chart-and-improved-geo-charts/","http://www.r-bloggers.com/googlevis-0-2-13-new-stepped-area-chart-and-improved-geo-charts/","On
 7th December Google published a new version of their Visualisation API.
 The new version adds a new chart type: Stepped Area Chart and provides 
improvements to Geo Chart. Now Geo Chart has similar functionality to 
Geo Map, but while Geo Map requires ...","","http://www.r-bloggers.com/googlevis-0-2-13-new-stepped-area-chart-and-improved-geo-charts/","googleVis 0.2.13: new stepped area chart and improved geo charts","December 23, 2011","mages"," mages' blog","http://lamages.blogspot.com/2011/12/googlevis-0213-new-stepped-area-chart.html","Geo Chart, googleVis, gvisGeoChart, gvisSteppedAreaChart, R"
"13","Thursday, December 22, 2011 at 7:23pm","19 people like this","0","0","R bloggers","http://www.r-bloggers.com/r-2-14-1-is-released-2/","http://www.r-bloggers.com/r-2-14-1-is-released-2/","","","http://www.r-bloggers.com/r-2-14-1-is-released-2/","R 2.14.1 is released","December 22, 2011","Tal Galili",NA,NA,"new release, R"
"14","Thursday, December 22, 2011 at 7:41am","17 people like this","At least 1 comment","12 shares","R bloggers","http://www.r-bloggers.com/basics-on-markov-chain-for-parents/","http://www.r-bloggers.com/basics-on-markov-chain-for-parents/","Markov
 chains is a very interesting and powerful tool. Especially for parents.
 Because if you think about it quickly, most of the games our kids are 
playing at are Markovian. For instance, snakes and ladders... It is 
extremely easy to write down th...","Jeff D. Hamann Freakin' Awesome!Thursday, December 22, 2011 at 2:27pm · LikeUnlike ·  1ReplyR bloggers I agree :)Thursday, December 22, 2011 at 6:52pm · LikeUnlikeReplyAlan Navarro-Navarro Absolutely Great! I love RThursday, December 22, 2011 at 9:16pm · LikeUnlike ·  1Reply","http://www.r-bloggers.com/basics-on-markov-chain-for-parents/","Basics on Markov Chain (for parents)","December 20, 2011","arthur charpentier"," Freakonometrics - Tag - R-english","http://freakonometrics.blog.free.fr/index.php?post/2011/12/20/Basic-on-Markov-Chain-(for-parents)","chain, ladders, Markov, matrix, R-english, Renglish, rstats, snakes, statistics"
"15","Thursday, December 22, 2011 at 7:40am","9 people like this","At least 1 comment","1 share","R bloggers","http://www.r-bloggers.com/maps-with-r-and-polygon-boundaries/","http://www.r-bloggers.com/maps-with-r-and-polygon-boundaries/","With
 R, it is extremely easy to draw maps. Let us start with something 
simple, like French regions. Baptiste mentioned on his blog that 
shapefiles can be downloaded from http://ign.fr/ website. Hence, if you extract the zip file, it is possible to ...","Wonsang Lucas You It's very interesting article! Thanks.Thursday, December 22, 2011 at 8:56am · LikeUnlike ·  1Reply","http://www.r-bloggers.com/maps-with-r-and-polygon-boundaries/","Maps with R, and polygon boundaries","December 21, 2011","arthur charpentier"," Freakonometrics - Tag - R-english","http://freakonometrics.blog.free.fr/index.php?post/2011/10/27/Maps-with-R,-and-polygon-boundaries","IGN, Informatique / R, maps, maptools, plates, R-english, readShapePoly, readShapeSpatial, region, rstats, shapefile, shp, SpatialPolygons2PolySet, tectonic"
"16","Thursday, December 22, 2011 at 7:39am","0","0","0","R bloggers","http://www.r-bloggers.com/lehmann-primiality-test-in-r/","http://www.r-bloggers.com/lehmann-primiality-test-in-r/","After
 a small frustration with the limitations of R 16-bit intergers. I think
 i have worked out a solution. The issue was i was implementing a 
bone-headed solution to the modulo/exponent step. So to recap. The 
Lehmann primality test is a probabilistic ...","","http://www.r-bloggers.com/lehmann-primiality-test-in-r/","Lehmann Primiality Test in R","December 21, 2011","Command-Line Worldview"," Command-Line Worldview","http://notebookonthewebs.tumblr.com/post/14572091674","primality, prime numbers, R"
"17","Thursday, December 22, 2011 at 7:38am","9 people like this","0","1 share","R bloggers","http://www.r-bloggers.com/an-r-function-to-map-your-twitter-followers/","http://www.r-bloggers.com/an-r-function-to-map-your-twitter-followers/","I
 wrote a little function to make a personalized map of who follows you 
or who you follow on Twitter. The idea for this function was inspired by
 some plots I discussed in a previous post. I also found a lot of really
 useful code over at flowing data he...","","http://www.r-bloggers.com/an-r-function-to-map-your-twitter-followers/","An R function to map your Twitter Followers","December 21, 2011","leekgroup"," Simply Statistics","http://simplystatistics.tumblr.com/post/14568185310","DIY, R, twitter, visualization"
"18","Wednesday, December 21, 2011 at 10:24pm","16 people like this","0","0","R bloggers","Visualizing Twitter Retweets Graphs using Python, R and Gephihttp://www.r-bloggers.com/a-tool-chain-for-plotting-twitter-archive-retweet-graphs-%E2%80%93-py-r-gephi/","http://www.r-bloggers.com/a-tool-chain-for-plotting-twitter-archive-retweet-graphs-%E2%80%93-py-r-gephi/","Another
 set of stepping stones that provide a clunky route to a solution that 
@mhawksey has been working on a far more elegant expression of (eg Free 
the tweets! Export TwapperKeeper archives using Google Spreadsheet and 
Twitter: How to archive event hashtags and create an interactive 
visualization ...","","http://www.r-bloggers.com/a-tool-chain-for-plotting-twitter-archive-retweet-graphs-%E2%80%93-py-r-gephi/","A Tool Chain for Plotting Twitter Archive Retweet Graphs â Py, R, Gephi","December 21, 2011","Tony Hirst"," OUseful.Info, the blog... Â» Rstats","http://blog.ouseful.info/2011/12/21/a-tool-chain-for-plotting-twitter-archive-retweet-graphs-py-r-gephi/","Anything you want, rstats"
"19","Wednesday, December 21, 2011 at 3:38pm","0","View all 5 comments","0","Edin Villalobos Mora","Hi,
 I don't know where to ask quick (and embarrasing) newbie questions 
about R, so I'll do it here. I'm trying to save an R object (a 
data.frame or anova object) to a file, but the ""save"" command don't do 
it, it only saves the name of the object in the file. The help pages and
 books say it must work, but doesn't work for me. What stupid mistake 
I'm doing?",NA,NA,"Edin Villalobos Mora Mmm,
 it worked. Like I said, an embarrasing question. In moments like this I
 miss a formal training in programming, I' m usually lost in R for 
little details like this.Friday, December 23, 2011 at 9:08pm · LikeUnlikeReplyR bloggers You are not the only one Edin :) Just keep going - in time these things start to become second nature...Saturday, December 24, 2011 at 8:33am · LikeUnlikeReply",NA,NA,NA,NA,NA,NA,NA
"20","Tuesday, December 20, 2011 at 10:38pm","10 people like this","At least 1 comment","1 share","R bloggers","http://www.r-bloggers.com/simulating-confidence-intervals/","http://www.r-bloggers.com/simulating-confidence-intervals/","As
 I am finishing up my thesis I have recently been plotting effects from 
many models. An important aspect of this is to show the uncertainty 
surrounding different estimates and effects. Following a paper by Gary 
King, Michael Tomz and Jason Wittenberg...","Ben Williams fantastic!Tuesday, December 20, 2011 at 10:47pm · LikeUnlikeReplyR bloggers I thought so too :)Tuesday, December 20, 2011 at 10:54pm · LikeUnlikeReplyS Edward Flanigan That is pretty freakin' coolWednesday, December 21, 2011 at 1:18am · LikeUnlike ·  1Reply","http://www.r-bloggers.com/simulating-confidence-intervals/","Simulating Confidence Intervals","December 20, 2011","The PolStat Feed"," The PolStat Feed","http://polstat.org/blog/2011/12/simulating-confidence-intervals",NA
"21","Tuesday, December 20, 2011 at 1:04pm","9 people like this","0","0","R bloggers","http://www.r-bloggers.com/ripley-on-model-selection-and-some-links-on-exploratory-model-analysis/","http://www.r-bloggers.com/ripley-on-model-selection-and-some-links-on-exploratory-model-analysis/","This
 is really fun. I love how Ripley thinks, with just about every concept 
considered in broad generality while being connected to real-data 
examples. He’s a great statistical storyteller as well. . . . and 
Wickham on exploratory model analysis I came across Ripley’s slides in a
 reference from Hadl...","","http://www.r-bloggers.com/ripley-on-model-selection-and-some-links-on-exploratory-model-analysis/","Ripley on model selection, and some links on exploratory model analysis","December 17, 2011","andrew"," Statistical Modeling, Causal Inference, and Social Science Â» R","http://andrewgelman.com/2011/12/ripley-on-model-selection-and-some-links-on-exploratory-model-analysis/","R, statistical computing, Statistical graphics"
"22","Monday, December 19, 2011 at 7:30pm","20 people like this","0","0","R bloggers","A non-technical video talk about analyzing spatial data (R code available)http://www.r-bloggers.com/spatial-data-with-r/","http://www.r-bloggers.com/spatial-data-with-r/","On
 September 14th 2011 Dr Alec Stephenson gave a talk on exploring spatial
 data with R (see Meetup page). The video of the talk is now available 
online. The talk provides a non-mathematical and entirely equation-free 
talk on visualizing and … Continue reading →","","http://www.r-bloggers.com/spatial-data-with-r/","Spatial Data with R","December 19, 2011","jeromyanglim"," R User Groups","http://feedproxy.google.com/~r/RUserGroups/~3/Ab96IesXi9o/","RUG Melbourne, space, spatial statistics, video"
"23","Monday, December 19, 2011 at 10:42am","7 people like this","0","2 shares","R bloggers","Yay!http://www.r-bloggers.com/the-r-journal-volume-32-december-2011-is-out/","http://www.r-bloggers.com/the-r-journal-volume-32-december-2011-is-out/","","","http://www.r-bloggers.com/the-r-journal-volume-32-december-2011-is-out/","The R Journal (Volume 3/2, December 2011) is out","December 19, 2011","Tal Galili",NA,NA,"r journal"
"24","Monday, December 19, 2011 at 10:23am","0","0","0","R bloggers","For
 readers of R-bloggers, Manning publishing house is offering 38% 
discount off of all eBooks, pBooks and MEAPs, for links and code, see 
the 2nd paragraph here:http://www.r-bloggers.com/data-frame-objects-in-r-via-%E2%80%9Cr-in-action%E2%80%9D/","http://www.r-bloggers.com/data-frame-objects-in-r-via-%E2%80%9Cr-in-action%E2%80%9D/","The
 followings introductory post is intended for new users of R.  It deals 
with R data frames: what they are, and how to create, view, and update 
them. This is a guest article by Dr. Robert I. Kabacoff, the founder of 
(one of) the first online R tutorials websites: Quick-R.  Kabacoff has 
recently pu...","","http://www.r-bloggers.com/data-frame-objects-in-r-via-%E2%80%9Cr-in-action%E2%80%9D/","data.frame objects in R (via âR in Actionâ)","December 18, 2011","Tal Galili"," R-statistics blog Â» R","http://www.r-statistics.com/2011/12/data-frame-objects-in-r-via-r-in-action/","data frame, data frames, R, R book, R classes, R in action, R objects, R tutorial, tutorial"
"25","Sunday, December 18, 2011 at 10:18pm","9 people like this","0","0","R bloggers","http://www.r-bloggers.com/function-to-collect-geographic-coordinates-for-ip-addresses/","http://www.r-bloggers.com/function-to-collect-geographic-coordinates-for-ip-addresses/","Added the function IPtoXY here which collects geographic coordinates for IP-addresses.It uses a web-service at http://www.datasciencetoolkit.org// and works with the base R-packages. # System time to collect coordinates of 100 IP-addresses:> system....","","http://www.r-bloggers.com/function-to-collect-geographic-coordinates-for-ip-addresses/","Function to Collect Geographic Coordinates for IP-Addresses","December 17, 2011","Kay Cichini"," theBioBucket*","http://thebiobucket.blogspot.com/2011/12/function-to-collect-geographic.html","IP-Address, R"
"26","Friday, December 16, 2011 at 8:22pm","10 people like this","0","1 share","R bloggers","http://www.r-bloggers.com/to-sweave-or-not-to-sweave-that-is-the-question/","http://www.r-bloggers.com/to-sweave-or-not-to-sweave-that-is-the-question/","I
 am about to start writing up the manuscript of my recent biomath 
seminar (Act 3: Pineda-Krch. 2011. Cycles at the edge of existence: 
Emergence of quasi-cycles in strongly destabilizedecosystems.). While 
the slides for the talk were put together using Sweave … Continue 
reading →","","http://www.r-bloggers.com/to-sweave-or-not-to-sweave-that-is-the-question/","To Sweave, or not to Sweave, that is the question","December 16, 2011","Mario Pineda-Krch"," Mario's Entangled Bank Â» R","http://pineda-krch.com/2011/12/16/to-sweave-or-not-to-sweave-that-is-the-question/","manuscript, R, sweave, Writing"
"27","Thursday, December 15, 2011 at 9:34pm","2 people like this","At least 1 comment","0","R bloggers","MySQL with R using xampp http://www.r-bloggers.com/rmysql-using-the-latest-mysql-version/","http://www.r-bloggers.com/rmysql-using-the-latest-mysql-version/","In
 order to connect my R related stuff to a webserver and MySQL I went all
 the way from using xampp to setting up my own (W)AMPP  (Apache MySQL 
PHP Perl) to finally back to xampp. And I’m quite happy about this very 
last switch to xampp! Why I like xampp it can be run … Continue reading »","Matthias Bunny Nice. Though striking to see what a mission that is if you aint got a nix OS.Thursday, December 15, 2011 at 9:53pm · LikeUnlike ·  1Reply","http://www.r-bloggers.com/rmysql-using-the-latest-mysql-version/","RMySQL: using the latest MySQL version","December 15, 2011","songpants"," [R]appster","http://rappster.wordpress.com/2011/12/15/rmysql-using-the-latest-mysql-version/","mysql, Portable Apps, R, xampp"
"28","Thursday, December 15, 2011 at 1:07pm","0","0","0","Amalia Susana Haye","Hola
 a todos: Necesito documentos que hablen y describan el uso de GUIS en 
la enseñanza de la estadística mediante R. Ya escribí bastante, pero 
resulta que me piden más texto, y ya me cansé de buscar. Si alguien 
tiene algo ¿me lo adjunta? Gracias",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"29","Thursday, December 15, 2011 at 6:12am","11 people like this","At least 1 comment","1 share","R bloggers","http://www.r-bloggers.com/create-maps-with-maptools-r-package/","http://www.r-bloggers.com/create-maps-with-maptools-r-package/","Baptiste
 Coulmont explains on his blog how to use the R package maptools. It is 
based on shapefile files, for example the ones offered by the French 
geography agency IGN (at départements and communes level). Some 
additional material like roads … Continue reading →","Casey Jung R has many wonderful functions.Thursday, December 15, 2011 at 1:38pm · LikeUnlike ·  1Reply","http://www.r-bloggers.com/create-maps-with-maptools-r-package/","Create maps with maptools R package","December 13, 2011","Julyan Arbel"," Statisfaction Â» R","http://statisfaction.wordpress.com/2011/12/13/create-maps-with-maptools/","dataset, R"
"30","Wednesday, December 14, 2011 at 10:29pm","6 people like this","At least 1 comment","0","R bloggers","I love these things :)http://www.r-bloggers.com/unshorten-any-url-with-r/","http://www.r-bloggers.com/unshorten-any-url-with-r/","Introduction
 I was asked by a friend how to find the full final address of an URL 
which had been shortened via a shortening service (e.g., Twitter’s t.co,
 Google’s goo.gl, Facebook’s fb.me, dft.ba, bit.ly, TinyURL, tr.im, 
Ow.ly, etc.). I replied I had no idea and maybe he should have a look 
over on ...","Kai Feng Chew Yes! It's really cool! I changed a little bit to make it 2 lines to use the shorten function: load(""unshort.Rdata"") unshort(""ANY_SHORTEN_URL"") Example:http://cloudst.at/index.php?do=%2Fkafechew%2Fblog%2Funshorten-url-function%2FWednesday, December 14, 2011 at 10:34pm · LikeUnlike ·  1ReplyTony Breyal ‎@Kai
 you might want to use the code from the updated version of the code on 
my blog because it now handles both https. It won't work with ""http://1.cloudst.at/myeg"" however because that one require the user to be registered (and I'll admit I had not thought of that use case)Thursday, December 15, 2011 at 12:03am · LikeUnlike ·  1Reply","http://www.r-bloggers.com/unshorten-any-url-with-r/","Unshorten any URL with R","December 13, 2011","Tony Breyal"," Consistently Infrequent Â» R","http://tonybreyal.wordpress.com/2011/12/13/unshorten-any-url-created-using-url-shortening-services-decode_shortened_url/","dft.ba, R, RCurl, rstats, tinurl, url"
"31","Tuesday, December 13, 2011 at 8:06am","12 people like this","At least 1 comment","2 shares","R bloggers","http://www.r-bloggers.com/mapping-prosperity-in-france-with-r/","http://www.r-bloggers.com/mapping-prosperity-in-france-with-r/","The
 choropleth below (created by Baptiste Coulmont) is a sort of prosperity
 map of France: the blue areas have high levels of personal income 
(actually, median household income tax paid divided by the number of 
household members), while the red areas have the lowest: The map was 
created with the hel...","Lorenzo Braschi C'est magnifique!Tuesday, December 13, 2011 at 11:16am · LikeUnlikeReplyJeff D. Hamann It would be nice to have these for places like Iraq, Afghanistan, USA, and well... basically everywhere! Awesome.Tuesday, December 13, 2011 at 3:55pm · LikeUnlike ·  1ReplyR bloggers I agree Jeff.  I wish I could have done that for Israel.Tuesday, December 13, 2011 at 4:57pm · LikeUnlikeReply","http://www.r-bloggers.com/mapping-prosperity-in-france-with-r/","Mapping prosperity in France with R","December 12, 2011","David Smith"," Revolutions","http://blog.revolutionanalytics.com/2011/12/mapping-prosperity-in-france-with-r.html","graphics, R"
"32","Sunday, December 11, 2011 at 10:23pm","17 people like this","At least 1 comment","2 shares","R bloggers","useR2011 - slides and videos (all that are available online)http://www.r-bloggers.com/user-2011-slides-and-videos-%E2%80%93-on-one-page/","http://www.r-bloggers.com/user-2011-slides-and-videos-%E2%80%93-on-one-page/","Links to slides and talks from useR 2011 - all organized in one page.","Kaushal Chaudhary R -videos n slides of 2011..quite informative n useful..Monday, December 12, 2011 at 12:43am · LikeUnlike ·  1Reply","http://www.r-bloggers.com/user-2011-slides-and-videos-%E2%80%93-on-one-page/","UseR! 2011 slides and videos â on one page","December 11, 2011","Tal Galili"," R-statistics blog Â» R","http://www.r-statistics.com/2011/12/user-2011-slides-and-videos-on-one-page/","R, R community, R links, R talks, useR, useR 2011"
"33","Sunday, December 11, 2011 at 10:13am","0","0","0","R bloggers","http://www.r-bloggers.com/rescuing-twapperkeeper-archives-before-they-vanish/","http://www.r-bloggers.com/rescuing-twapperkeeper-archives-before-they-vanish/","A
 couple of years or so ago, various JISC folk picked up on the idea that
 there might be value in them thar tweets and started encouraging the 
use of Twapperkeeper for archiving hashtagged tweets around events, 
supporting the development of that service in exchange for an open 
source version of the ...","","http://www.r-bloggers.com/rescuing-twapperkeeper-archives-before-they-vanish/","Rescuing Twapperkeeper Archives Before They Vanish","December 10, 2011","Tony Hirst"," OUseful.Info, the blog... Â» Rstats","http://blog.ouseful.info/2011/12/10/rescuing-twapperkeeper-archives-before-they-vanish/","Anything you want, rstats, twapperkeeper"
"34","Friday, December 9, 2011 at 10:29pm","6 people like this","0","0","R bloggers","http://www.r-bloggers.com/stability-of-classification-trees/","http://www.r-bloggers.com/stability-of-classification-trees/","Classification
 trees are known to be unstable with respect to training data. Recently I
 have read an article on stability of classification trees by Briand et 
al. (2009). They propose a quantitative similarity measure between two 
trees. The method is i...","","http://www.r-bloggers.com/stability-of-classification-trees/","Stability of classification trees","December 9, 2011","BogumiÅ KamiÅski"," R snippets","http://rsnippets.blogspot.com/2011/12/stability-of-classification-trees.html",NA
"35","Friday, December 9, 2011 at 10:29pm","4 people like this","0","0","R bloggers","http://www.r-bloggers.com/running-your-r-and-latex-infrastructure-from-a-portable-usb-drive/","http://www.r-bloggers.com/running-your-r-and-latex-infrastructure-from-a-portable-usb-drive/","On
 my road to eventually running all of my programs off an USB device I’ve
 gotten a little bit closer yesterday thanks to input from Duncan 
Murdoch and Yihui Xie. Eventually running the entire Windows OS off a 
USB drive would be nice (not talking about running it as a Virtual 
Machine, but to have … ...","","http://www.r-bloggers.com/running-your-r-and-latex-infrastructure-from-a-portable-usb-drive/","Running your R and LaTeX Infrastructure from a portable USB Drive","December 9, 2011","songpants"," [R]appster","http://rappster.wordpress.com/2011/12/09/running-your-r-and-latex-infrastructure-from-a-portable-usb-drive/","LaTex, Lyx, Portable Apps, R"
"36","Friday, December 9, 2011 at 9:23am","0","At least 1 comment","0","Mukul Pal","Orpheus
 is looking for R Statistician: The project will entail manipulating 
databases, running statistical tasks, creating algorithms, authoring 
academic papers and building money management solutions. A trading 
experience, knowledge of options and an additional programming knowledge
 will be a plus.",NA,NA,"Mukul Pal please mail to support@orpheus.asiaFriday, December 9, 2011 at 9:23am · LikeUnlikeReply",NA,NA,NA,NA,NA,NA,NA
"37","Wednesday, December 7, 2011 at 7:50pm","9 people like this","0","0","R bloggers","A Word Cloud with Spatial Meaninghttp://www.r-bloggers.com/what-comes-out-when-ecologists-do-linguists-work-maybe-a-word-cloud-with-spatial-meaning/","http://www.r-bloggers.com/what-comes-out-when-ecologists-do-linguists-work-maybe-a-word-cloud-with-spatial-meaning/","‎..Some
 time ago I did a word cloud for representing a Google Scholar search 
result. Tal Galili pointed me at a post by Drew Conway that expanded on 
the topic of word clouds lacking spatial meaning.As I am an ecologist, I
 immediately was thinking of tre...","","http://www.r-bloggers.com/what-comes-out-when-ecologists-do-linguists-work-maybe-a-word-cloud-with-spatial-meaning/","Page Not Found",NA,NA,NA,NA,NA
"38","Wednesday, December 7, 2011 at 7:46pm","12 people like this","At least 1 comment","0","R bloggers","integration C++ and R, on Windows 7, using Rcpphttp://www.r-bloggers.com/installing-rcpp-on-windows-7-for-r-and-c-integration/","http://www.r-bloggers.com/installing-rcpp-on-windows-7-for-r-and-c-integration/","Introduction
 Romain Francois presented an Rcpp solution on his blog to an old r-wiki
 optimisation challenge which I had also presented R solutions for 
previously on my blog. The Rcpp package provides a method for 
integrating R and C++. This allows for faster execution of an R project 
by recoding the...","Shinichi Takayanagi さっさとRcppは使えるようにしたいThursday, December 8, 2011 at 12:44pm · LikeUnlikeReply","http://www.r-bloggers.com/installing-rcpp-on-windows-7-for-r-and-c-integration/","Installing Rcpp on Windows 7 for R and C++ integration","December 7, 2011","Tony Breyal"," Consistently Infrequent Â» R","http://tonybreyal.wordpress.com/2011/12/07/installing-rcpp-on-windows-7-for-r-and-c-integration/","guide, install, R, Rcpp, rstats, tutorial"
